Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD4 (Opal 520) Min (Normalized Counts, Total Weighting)	CD4 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD4 (Opal 520) Max (Normalized Counts, Total Weighting)	CD4 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD4 (Opal 520) Total (Normalized Counts, Total Weighting)	CK (Opal 540) Min (Normalized Counts, Total Weighting)	CK (Opal 540) Mean (Normalized Counts, Total Weighting)	CK (Opal 540) Max (Normalized Counts, Total Weighting)	CK (Opal 540) Std Dev (Normalized Counts, Total Weighting)	CK (Opal 540) Total (Normalized Counts, Total Weighting)	CD8 (Opal 570) Min (Normalized Counts, Total Weighting)	CD8 (Opal 570) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 570) Max (Normalized Counts, Total Weighting)	CD8 (Opal 570) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 570) Total (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Min (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Mean (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Max (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Total (Normalized Counts, Total Weighting)	CD68 (Opal 650) Min (Normalized Counts, Total Weighting)	CD68 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 650) Max (Normalized Counts, Total Weighting)	CD68 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 650) Total (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Min (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Mean (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Max (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.1.5430.24864
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	tumor	1		1112	236	#N/A	#N/A	132650	2.29 %	0.25	379.07	590.15	1.56	0.000	4.961	32.593	4.874	658088.464	0.000	0.480	4.459	0.494	63618.001	0.000	6.872	28.082	4.541	911524.338	0.000	1.948	49.476	4.857	258438.594	0.000	4.218	53.101	4.416	559460.927	0.000	3.400	50.063	5.945	450987.453	0.000	0.495	19.116	0.660	65694.090	0.000	5.176	15.988	2.098	686640.479	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	tumor	2		1802	368	#N/A	#N/A	203861	3.52 %	0.28	510.39	612.87	1.20	0.000	4.597	38.230	4.579	937216.820	0.000	0.460	6.972	0.481	93809.384	0.000	7.416	31.825	4.724	1511734.333	0.000	1.405	44.821	3.897	286366.665	0.000	5.038	40.215	4.114	1027023.878	0.000	3.837	67.825	6.583	782302.309	0.000	0.635	9.246	0.654	129486.337	0.000	5.613	19.041	2.358	1144295.759	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	tumor	3		744	248	#N/A	#N/A	11876	0.21 %	0.27	86.94	257.22	2.96	0.000	4.812	31.295	4.928	57149.866	0.000	0.681	4.997	0.557	8087.302	0.000	6.980	24.538	4.543	82896.316	0.000	1.206	31.612	3.208	14319.528	0.000	2.023	18.242	1.628	24020.461	0.000	2.391	52.341	6.286	28397.421	0.000	0.781	17.243	1.255	9277.908	0.000	4.456	16.128	2.009	52913.777	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	tumor	4		1320	368	#N/A	#N/A	6656	0.11 %	0.58	80.08	112.03	1.40	0.000	3.212	26.193	3.820	21377.837	0.000	0.570	3.180	0.550	3791.675	0.000	6.490	23.542	4.576	43200.559	0.000	1.648	34.194	4.770	10971.673	0.000	5.297	29.992	4.478	35258.426	0.000	3.474	44.899	5.180	23120.630	0.000	0.350	4.636	0.507	2326.658	0.000	5.612	17.038	2.214	37354.426	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	tumor	5		1386	1300	#N/A	#N/A	1592254	27.50 %	0.04	1560.71	2100.02	1.35	0.000	5.065	46.168	4.752	8065120.601	0.000	0.568	6.083	0.550	905080.247	0.000	7.368	31.758	4.368	11732455.185	0.000	0.770	51.887	2.738	1226719.736	0.000	2.858	47.760	2.735	4550355.476	0.000	1.698	50.738	3.781	2702882.397	0.000	0.553	22.638	0.623	880444.775	0.000	5.364	22.550	2.431	8541380.216	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	tumor	6		2324	1376	#N/A	#N/A	5184	0.09 %	0.49	63.13	116.16	1.84	0.000	4.204	29.614	4.271	21794.126	0.000	0.524	5.830	0.584	2718.381	0.000	5.735	21.631	3.993	29730.447	0.000	1.635	29.437	3.314	8475.907	0.000	4.040	37.374	4.384	20941.631	0.000	1.449	22.665	2.317	7513.766	0.000	0.774	14.303	1.676	4014.147	0.000	4.248	13.105	1.853	22022.010	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	7		1112	40	#N/A	#N/A	8960	0.15 %	0.34	80.33	176.24	2.19	0.000	1.429	28.127	2.432	12801.168	0.000	0.128	2.155	0.224	1147.232	0.000	0.984	18.665	1.826	8820.804	0.000	1.016	29.182	2.308	9103.189	0.000	2.182	27.566	4.152	19547.445	0.000	3.925	48.663	7.996	35168.706	0.000	0.230	3.760	0.408	2059.325	0.000	2.821	15.644	2.355	25279.021	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	8		1304	488	#N/A	#N/A	611528	10.56 %	0.06	950.02	1872.82	1.97	0.000	5.018	50.544	5.240	3068893.791	0.000	0.320	7.807	0.331	195860.186	0.000	0.791	20.997	0.618	483522.678	0.000	1.693	53.659	3.759	1035253.321	0.000	1.536	34.698	1.914	939287.018	0.000	2.707	59.319	5.183	1655409.545	0.000	0.763	17.050	0.845	466718.425	0.000	3.765	16.968	1.897	2302122.754	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	9		2744	76	#N/A	#N/A	6144	0.11 %	0.32	80.29	152.29	1.90	0.000	1.233	2.250	0.288	7573.630	0.000	0.052	0.406	0.073	321.920	0.000	0.133	0.735	0.136	815.545	0.000	0.142	1.096	0.196	870.746	0.000	0.065	0.849	0.119	401.977	0.000	0.095	0.451	0.090	583.273	0.000	0.101	0.785	0.137	620.029	0.000	1.244	2.603	0.417	7642.701	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	10		2010	304	#N/A	#N/A	5427	0.09 %	0.42	69.28	129.19	1.86	0.000	3.587	16.838	2.590	19464.192	0.000	0.214	2.591	0.272	1160.645	0.000	0.952	9.327	0.800	5163.825	0.000	1.623	27.850	3.212	8810.080	0.000	2.538	30.239	3.559	13771.560	0.000	1.867	31.897	4.184	10130.021	0.000	0.321	3.677	0.437	1744.748	0.000	2.503	12.327	1.689	13586.494	MDA FIHC6	TMA_316	1	5	6	1	
